海珠区,南洲街,南洲街社区卫生服务中心,广州市海珠区沥滘五约后街1号,34272337
海珠区,南洲街,南洲街森语星园社区卫生服务站,广州市海珠区南洲街广州大道南森语二街53号,34121734
海珠区,南洲街,南洲街西滘社区卫生服务站,广州市海珠区南洲街西滘大街8巷18号,62769080
海珠区,南洲街,南洲街大沙社区卫生服务站,广州市海珠区大沙第一经济合作社办公室右侧底层6-7档,62766948
海珠区,南洲街,南洲街三滘社区卫生服务站,广州市海珠区南洲街后滘大街2号,84165355
海珠区,官洲街,官洲街社区卫生服务中心,广州市海珠区官洲街赤沙村赤沙路128号,84094250
海珠区,官洲街,官洲街仑头社区卫生服务站,广州市海珠区官洲街仑头村车站南路38号二楼,34087133
海珠区,官洲街,官洲街北山社区卫生服务站,广州市海珠区官洲街北山村北山大街7号,34089892
海珠区,华洲街,华洲街社区卫生服务中心,广州市海珠区华洲街土华村新埗头东1号,89886305
海珠区,华洲街,华洲街龙潭社区卫生服务站,广州市海珠区华洲街龙潭村村口大街6号,34047558
海珠区,华洲街,华洲街小洲社区卫生服务站,广州市海珠区小洲街拱北大街23号,34080662
海珠区,琶洲街,琶洲街社区卫生服务中心,广州市海珠区新港东路2842号,34090355
海珠区,琶洲街,琶洲街黄埔社区卫生服务站,广州市海珠区新港东路黄埔村口10号,34090090
海珠区,琶洲街,琶洲街琶洲社区卫生服务站,广州市海珠区琶洲村仁瑞大街右八巷2号,34310963
海珠区,琶洲街,琶洲街石基社区卫生服务站,广州市海珠区琶洲街石基村,84135389
越秀区,人民街,越秀区人民街社区卫生服务中心,广州市越秀区泰康路木排头65号、一德路190号1-4楼,83334993
越秀区,光塔街,越秀区光塔街社区卫生服务中心,广州市越秀区朝天路64号、朝天路60号、光塔路怡乐里3号,83343651
越秀区,六榕街,越秀区六榕街社区卫生服务中心,广州市越秀区解放北路迎宾10号、盘福路医国街115号,83332472
越秀区,洪桥街,越秀区洪桥街社区卫生服务中心,广州市越秀区小北路小石街3号、小北路111号首层\夹层\二层,83517551
越秀区,流花街,越秀区流花街社区卫生服务中心,广州市越秀区解放北路桂花岗东一号综合楼1-4层,86233782
越秀区,大东街,越秀区大东街社区卫生服务中心,广州市越秀区东华东路623号、庙前西路仑园19号,87778763
越秀区,珠光街,越秀区珠光街社区卫生服务中心,广州市越秀区万福路166～168、190、203号,83351447
越秀区,华乐街,越秀区华乐街社区卫生服务中心,广州市越秀区淘金路淘金街34号,83575326
越秀区,东山街,越秀区东山街社区卫生服务中心,广州市越秀区明月二路E21地下、寺右新马路南二街六巷19号,87375862
